Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
L_hand_base_link,-0.076247,-0.1691,0.24613,0,0,0,0.14143,7.7231E-05,-1.5968E-06,1.7694E-06,8.3835E-05,2.1995E-06,0.0001234,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_hand_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_hand_base_link.STL,,01-1;02-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_thumb_proximal_base,-0.0048772,0.00668,-0.00044071,0,0,0,0.0018869,5.2003E-08,4.8353E-09,6.6444E-09,6.7434E-08,-5.4476E-10,8.5319E-08,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_thumb_proximal_base.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_thumb_proximal_base.STL,,08-2,Origin_L_thumb_MCP_joint1,基准轴11,L_thumb_MCP_joint1,revolute,-0.098633,-0.23173,-0.15826,-1.5708,0,-0.16939,L_hand_base_link,0,-1,0,50,1,-1,1,,,,,,,,
L_thumb_proximal,-3.8578E-05,0.025335,0.0016982,0,0,0,0.0066101,2.787E-06,1.3042E-10,1.3413E-09,8.9435E-07,2.1426E-07,2.4105E-06,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_thumb_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_thumb_proximal.STL,,09-2,Origin_L_thumb_MCP_joint2,基准轴12,L_thumb_MCP_joint2,revolute,-0.0115,0.005,0,2.1656,-1.5708,0,L_thumb_proximal_base,-1,0,0,50,1,-1,1,,,,,,,,
L_thumb_intermediate,-1.7401E-07,0.0072516,0.0064286,0,0,0,0.0037844,4.6532E-07,-9.1152E-13,-3.8682E-12,2.6856E-07,6.4144E-08,4.252E-07,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_thumb_intermediate.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_thumb_intermediate.STL,,10-2,Origin_L_thumb_PIP_joint,基准轴13,L_thumb_PIP_joint,revolute,0,0.055863,-0.0039241,0.038299,0,0,L_thumb_proximal,1,0,0,50,1,-1,1,,,,,,,,
L_thumb_distal,-3.3076E-06,0.010511,0.00057861,0,0,0,0.003344,2.0026E-07,-1.4157E-10,5.6213E-11,8.7108E-08,2.4414E-08,1.8974E-07,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_thumb_distal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_thumb_distal.STL,,11-1,Origin_L_thumb_DIP_joint,基准轴14,L_thumb_DIP_joint,revolute,0,0.022558,0.0020717,0.011642,0,0,L_thumb_intermediate,1,0,0,50,1,-1,1,,,,,,,,
L_index_proximal,0.0080456,0.011884,-0.0016957,0,0,0,0.0042405,6.9402E-07,1.4654E-11,-2.3231E-12,2.3041E-07,9.1802E-08,6.4342E-07,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_index_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_index_proximal.STL,,03-1,Origin_L_index_MCP_joint,基准轴15,L_index_MCP_joint,revolute,-0.096414,-0.24897,-0.24007,-1.3208,-0.034907,3.1416,L_hand_base_link,-1,0,0,50,1,-1,1,,,,,,,,
L_index_distal,0.0063917,0.01959,-0.0019564,0,0,0,0.0045682,7.8176E-07,-7.7162E-14,3.9272E-13,1.5634E-07,2.1006E-07,7.0081E-07,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_index_distal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_index_distal.STL,,04-1,Origin_L_index_DIP_joint,基准轴16,L_index_DIP_joint,revolute,0.0016538,0.030445,-0.010275,-0.039748,0,0,L_index_proximal,-1,0,0,50,1,-1,1,,,,,,,,
L_middle_proximal,0.0080653,0.011884,-0.0016957,0,0,0,0.0042405,6.9402E-07,1.4338E-11,-2.3917E-12,2.3041E-07,9.1802E-08,6.4342E-07,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_middle_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_middle_proximal.STL,,03-2,Origin_L_middle_MCP_joint,基准轴17,L_middle_MCP_joint,revolute,-0.077068,-0.24897,-0.24016,-1.3208,0,3.1416,L_hand_base_link,-1,0,0,50,1,-1,1,,,,,,,,
L_middle_distal,0.0063955,0.020807,-0.0018039,0,0,0,0.0050397,9.8385E-07,-4.0683E-12,-1.7233E-12,1.7328E-07,2.5594E-07,8.9141E-07,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_middle_distal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_middle_distal.STL,,05-5,Origin_L_middle_DIP_joint,基准轴18,L_middle_DIP_joint,revolute,0.0016698,0.030445,-0.010275,-0.071413,0,0,L_middle_proximal,-1,0,0,50,1,-1,1,,,,,,,,
L_ring_proximal,0.010821,0.011884,-0.0016957,0,0,0,0.0042405,6.9402E-07,1.3923E-11,-2.5637E-12,2.3041E-07,9.1802E-08,6.4342E-07,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_ring_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_l/meshes/L_ring_proximal.STL,,03-3,Origin_L_ring_MCP_joint,基准轴19,L_ring_MCP_joint,revolute,-0.055098,-0.24897,-0.23909,-1.3208,0.05236,3.1416,L_hand_base_link,-1,0,0,50,1,-1,1,,,,,,,,
