Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
R_hand_base_link,-0.076223,-0.01701,0.24616,0,0,0,0.14143,7.6663E-05,1.6551E-06,1.7709E-06,8.3832E-05,-2.1711E-06,0.00012281,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_hand_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_hand_base_link.STL,,R12.STEP-4;R01.STEP-2;R02.STEP-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R_thumb_proximal_base,-0.0048772,-0.010163,0.00044069,0,0,0,0.0018869,5.2002E-08,4.8353E-09,-6.6441E-09,6.7433E-08,5.4472E-10,8.5319E-08,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_thumb_proximal_base.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_thumb_proximal_base.STL,,R08.STEP-3,Origin_R_thumb_MCP_joint1,基准轴11,R_thumb_MCP_joint1,revolute,-0.098633,-0.23173,-0.011364,1.5708,0,-0.28289,R_hand_base_link,0,-1,0,50,1,-2,2,,,,,,,,
R_thumb_proximal,-3.8592E-05,0.02533,-0.0017007,0,0,0,0.0066075,2.786E-06,1.673E-10,-1.3436E-09,8.9422E-07,-2.1394E-07,2.4097E-06,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_thumb_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_thumb_proximal.STL,,R09.STEP-3,Origin_R_thumb_MCP_joint2,基准轴12,R_thumb_MCP_joint2,revolute,-0.0115,-0.011843,0,0.97599,1.5708,0,R_thumb_proximal_base,-1,0,0,50,1,-2,2,,,,,,,,
R_thumb_intermediate,2.8437E-07,0.0072526,-0.0064293,0,0,0,0.0037847,4.6531E-07,-3.454E-12,3.4344E-12,2.6858E-07,-6.414E-08,4.2517E-07,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_thumb_intermediate.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_thumb_intermediate.STL,,R10.STEP-3,Origin_R_thumb_PIP_joint,基准轴13,R_thumb_PIP_joint,revolute,0,0.055863,0.0039241,-0.038299,0,0,R_thumb_proximal,1,0,0,50,1,-2,2,,,,,,,,
R_thumb_distal,-3.3054E-06,0.010511,-0.00057863,0,0,0,0.0033441,2.0026E-07,-1.4303E-10,-5.6945E-11,8.711E-08,-2.4416E-08,1.8974E-07,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_thumb_distal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_thumb_distal.STL,,R11.STEP-4,Origin_R_thumb_DIP_joint,基准轴14,R_thumb_DIP_joint,revolute,0,0.022558,-0.0020717,-0.011642,0,0,R_thumb_intermediate,1,0,0,50,1,-2,2,,,,,,,,
R_index_proximal,0.0099008,0.011884,0.0016958,0,0,0,0.0042403,6.9398E-07,-4.4846E-12,-3.0248E-12,2.3039E-07,-9.1779E-08,6.434E-07,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_index_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_index_proximal.STL,,R03.STEP-9,Origin_R_index_MCP_joint,基准轴15,R_index_MCP_joint,revolute,-0.094559,-0.24897,0.054025,1.3268,0.034907,3.1416,R_hand_base_link,-1,0,0,50,1,-2,2,,,,,,,,
R_index_distal,0.0083258,0.019591,0.0019565,0,0,0,0.0045683,7.8179E-07,9.0022E-13,5.6729E-13,1.5635E-07,-2.1007E-07,7.0084E-07,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_index_distal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_index_distal.STL,,R04.STEP-9,Origin_R_index_DIP_joint,基准轴16,R_index_DIP_joint,revolute,0.001575,0.030445,0.010275,0.044288,0,0,R_index_proximal,-1,0,0,50,1,-2,2,,,,,,,,
R_middle_proximal,0.008065,0.011884,0.0016958,0,0,0,0.0042403,6.9397E-07,-6.0276E-12,-3.3971E-12,2.3039E-07,-9.1777E-08,6.4339E-07,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_middle_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_middle_proximal.STL,,R03.STEP-10,Origin_R_middle_MCP_joint,基准轴17,R_middle_MCP_joint,revolute,-0.077068,-0.24897,0.054042,1.3208,0,3.1416,R_hand_base_link,-1,0,0,50,1,-2,2,,,,,,,,
R_middle_distal,0.0063978,0.020807,0.0018039,0,0,0,0.0050396,9.8384E-07,5.3828E-12,3.4908E-12,1.7328E-07,-2.5594E-07,8.914E-07,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_middle_distal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_middle_distal.STL,,R05.STEP-9,Origin_R_middle_DIP_joint,基准轴18,R_middle_DIP_joint,revolute,0.0016673,0.030445,0.010275,0.071413,0,0,R_middle_proximal,-1,0,0,50,1,-2,2,,,,,,,,
R_ring_proximal,0.0080207,0.011884,0.0016959,0,0,0,0.0042403,6.9397E-07,-6.088E-12,-3.1846E-12,2.3039E-07,-9.1776E-08,6.4339E-07,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_ring_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_hand_r/meshes/R_ring_proximal.STL,,R03.STEP-11,Origin_R_ring_MCP_joint,基准轴19,R_ring_MCP_joint,revolute,-0.057894,-0.24897,0.053119,1.3208,-0.05236,3.1416,R_hand_base_link,-1,0,0,50,1,-2,2,,,,,,,,
